	as	ag	aa	ac	bca	bceh	bco	bhi	fib	colt	hlv	ms	nt	sse	thy	wb	tes
SMNABTCH	0.005169308277962048	0.006618808571988507	0.011359859158345939	0.011429736408086318	0.006628869243773404	0.01246518195936371	0.013294316466481928	0.01319708998792503	0.05490730848324802	0.01970837182465296	0.011455092747495666	0.00819953865877542	0.007469755665142185	0.0055902431259929235	0.006226865590851445	0.003818941682791599	0.002065325974563683
SMNABTCHD	0.004571348378520618	0.00468039861731137	0.010758274578882891	0.011674227753491424	0.005897502694081237	0.0123269181642474	0.008270103391979582	0.015993983017908945	0.06345810883868175	0.010420612438250154	0.0067001391221246705	0.007939224260455624	0.005790060092817423	0.0032609022153694124	0.005838183052139648	0.0038880278759927138	0.0015486997887314813
SMNABTCHT_0	0.0036151436347070616	0.007106296758778942	0.010057253161190091	0.012204159201927463			0.011743678439182831			0.01877212960457218	0.010145816856594643	0.008919302566991432	0.006320442708760532	0.002584288424401246	0.005510550263316479		0.0024997561358923942
SMNABTCHT_3	0.0036151436347070616	0.007106296758778942	0.01005725316119009	0.012204159201927463			0.01174367843918283			0.01877212960457218	0.010145816856594643	0.008919302566991432	0.006320442708760532	0.002584288424401246	0.005510550263316478		0.0024997561358923942
SMNTERRT	0.005842783430944596	0.09041038206528719	0.057485774739431936	0.0237346035558184	0.02854076060326431	0.03179994121609473	0.007338616321337594	0.0038584563340493204	0.0046062283559237666	0.015301099703194217	0.0034901270520170877	0.054599986767718184	0.0625022075555728	0.021053404193841416	0.01786585529527582	0.04290512095600663	0.24527950417985814
SMNTRART	0.005859332531279956	0.08880221329429437	0.05748983445995232	0.023890211042884597	0.029257853624856993	0.03208068125252878	0.007231228819419838	0.003886760106643389	0.004655789158767987	0.006826343134977012	0.0035192613810205095	0.05418029271809104	0.06258050128280263	0.02098434951761049	0.01819652498715812	0.04099648255044637	0.24596076700322758
SMNTRNRT	0.09847140417706815	0.06483494295797239	0.25721263682894474	0.18068835603043557	0.07402381846446689	0.0962384071169753	0.02509031589364038	0.15629331789903486	0.0706978816701282	0.007626553168667983	0.07328959732134725	0.15423358064736498	0.08981807442608122	0.17140250748799327	0.03726088464662968	0.16643368298343458	0.03488089448826426
SMRDTTL	0.0027400589909180933	0.002193536734126531	0.0017406312425434236	0.00460336240362687	0.007462793509175755	0.005022503770853269	0.012996506780220567	0.00654195764745696	0.05965319826946246	0.003543358068096779	0.018729396432670773	0.002204391294246418	0.0018829145508731172	0.0012145279003743417	0.0041403870886055774	0.004593084163803271	0.014438890334797273
SMRIN	0.011238985439994402	0.1716752685183512	0.03795271534052999	0.04604464840020934	0.08426487886053516	0.07004636248607564	0.04439239877393549	0.026123108054269182	0.013538572607985348	0.07961484064663737	0.22243922630494972	0.022190530423701973	0.0025398586994995337	0.014128405793810028	0.02979463945955049	0.06210421848739001	0.008281992874406553
SMRRNANM	0.0073745371992130085	0.084379776257326	0.008360980013548193	0.02071914920770876	0.1163094056707594	0.07448716806551463	0.1270216520725053	0.030158014871158517	0.033413627354323745	0.06721208014985963	0.1607439185723466	0.002698997703678592	0.0053016847326384856	0.0069489390046285245	0.004007906543525703	0.014612065523357535	0.11076018726474574
SMRRNART	0.008413884590363442	0.09134730709322475	0.011293684372982825	0.025265423004967466	0.15085896311765587	0.08253687141149975	0.17453294479716355	0.04149801778219528	0.1154669904266721	0.16621063952894158	0.22312529712248794	0.0033001006612606034	0.005923288501875661	0.008914224347992295	0.005722065552135131	0.012424254883394492	0.14896501400531337
SMSFLGTH	0.004730349693014569	0.005374462006108343	0.0127675084848452	0.017349110405045002	0.0268013384280107	0.020649402601757072	0.010508111559268844	0.005630943390869328	0.05425926292259859	0.022098233413917062	0.010483452837558556	0.011705008588397639	0.005082438727924443	0.008626044457423085	0.005481500821861024	0.011619054969534378	0.0052342698084458395
SMSPLTRD	0.002563544677236546	0.04033057011949247	0.030922854689257866	0.02535493500551222	0.03986880166136817	0.026317432313661963	0.07110815327760506	0.025950479006280797	0.09526884984305141	0.0017828476479188093	0.20344888461261262	0.015864310809933894	0.008635346087169437	0.005509655739411011	0.008988476154628956	0.03752078445945793	0.0015851279444426096
SMTRSCPT	0.035390720189310186	0.017461875086935738	0.06084506566789698	0.06666336749399486	0.03675885516428733	0.013261762987736243	0.03208093298113356	0.013785034222786157	0.0186945892539784	0.008039947610646669	0.040595387822412385	0.0648192538992129	0.02525968907161821	0.08910793488476336	0.01377737824621889	0.1038798000713763	0.03952996762657987
SMTSISCH	0.06542450717559008	0.1448260661540738	0.11242857613887931	0.10011648125248934	0.0036436331989406303	0.00895613559366133	0.002785408876777027	0.00439538578915681	0.009242053254891724	0.15923301189870218	0.16272149521270465	0.05859747025911404	0.07286281418358123	0.022777615379378214	0.08792787560523312	0.1286573829630033	0.044004237785285324
TRCHSTIND	0.08635129865982444	0.17350808299057172	0.14480514546309503	0.10601011919945297	0.004067686587235722	0.011926457308955259	0.0022271982954931045	0.005830779782942541	0.004184558973966885	0.15555439895393575	0.19233475217547272	0.07988038579438259	0.08915259579649222	0.02401372067497903	0.10621621279757552	0.16486328665721026	0.04134445788292
TRCRTMP	0.01708793616586735	0.00967092664069967	0.016383615328849282	0.015570634444531615	0.01802083366446536	0.013400527619811902	0.010786311572987022	0.017269491086194525	0.006953274797075196	0.006914958023743778	0.03505701494449553	0.019060541360526505	0.025056703021094515	0.007899579131289417	0.01622213641361409	0.010608084828247516	0.010170287170458288
TRDNISCH	0.07294856156221834	0.1366448568893966	0.11592569318462027	0.09883368402140914	0.004460259654067786	0.011012726489460892	0.002561944085773582	0.004407023863267338	0.008454873840410142	0.1569364459871926	0.15891165804496715	0.06720173890238998	0.07960993527890434	0.02410382148982384	0.08752680845299483	0.12403418226162735	0.045567792278260306
TRISCHD	0.07469910653358183	0.1485142717491995	0.1229094231855074	0.10188109623911819	0.0042204861172548186	0.011166355276848134	0.0024239438923381925	0.004640332821538516	0.007274741145869645	0.15781195029635395	0.17361065514499502	0.06988288623609787	0.08223944854250605	0.023648933533479237	0.09226041590715423	0.132430013332424	0.04364311655828584
pcr	0.001498854372311051	0.003575364540416557	0.0018182405119854508	0.004312882044418654	0.006242582977983453	0.005143767308929487	0.006922220392611128	0.0024177836401024417	0.0026278080835964775	0.0038258303325156896	0.0030992265193458823	0.0021564617089834905	0.002032537178526978	0.0022231906049202757	0.001651090659584942	0.0052563355474392354	0.001791029071667357
platform	0.002806890236232645	0.004383016627369402	0.007191518230752218	0.007314747765261893	0.0030236524014437085	0.006794012177381317	0.013063594284096638	0.010516431303639027	0.004714668600921266	0.01158374028693264	0.003981543602437374	0.0023876581580250275	0.0036238033024091924	0.002146604340841506	0.0018560102974491022	0.001912612698521346	0.001368611872989829
