	as	av	ag	aa	ac	at	bam	ban	bca	bceh	bce	bco	bfr	bhi	bhy	bnu	bpu	bsp	bsu	br	ebv	fib	cols	colt	esog	esom	esomu	haa	hlv	kc	liv	lu	msg	ms	nt	pan	pit	snse	sse	si	spl	sto	thy	wb	ov	pro	tes	ut	va
SME1ANTI	0.002507920354673788	0.006055060062714566	0.0021539424838594753	0.0019750643259673316	0.00471024350220487	0.002322669161868325	0.009457569572806983	0.007215260347490982	0.008737943712350569	0.00518906601138014	0.007376744998125373	0.012730873681087867	0.011165576502803646	0.004804238982517738	0.005828674706529794	0.005374965921777506	0.004172641373183243	0.008204599475120453	0.00690695859486497	0.003534735256766639	0.003185016121902123	0.06407772683142472	0.005999197840124464	0.00531413946988419	0.0011657766954506676	0.005152962602977033	0.0027113681846584604	0.00512035047474977	0.014104668710042328	0.00808221042079699	0.006074653231974937	0.008870381950929578	0.01535598267201208	0.002722306060113787	0.000903149962020562	0.004092501454506356	0.006250442757666032	0.00221054152746816	0.0013535905872073533	0.009202447912653143	0.00505042850253443	0.003602620655809817	0.0035265974153370918	0.01127413149230666	0.005979668718743838	0.003343822559470247	0.024094222033499372	0.010412309436854391	0.006911335562458423
SME1MMRT	0.004228490820689368	0.005466781310315681	0.005131489500928924	0.023522781354032865	0.016322104831978344	0.0024811554570421312	0.01338080904784003	0.011101759377830152	0.022203152513928803	0.006968473768787373	0.008865548318759041	0.013438495396396324	0.004315181563812357	0.0032787627979508943	0.01636949660015524	0.018068583486157187	0.02357862831863243	0.008139644500838242	0.00856795763612857	0.004825365585755387	0.018922287742301373	0.010840507491493102	0.0015684212171015045	0.007078000014101152	0.007965691304617753	0.00280032892796141	0.007749447969209888	0.01565271794281317	0.012776321856087975	0.012530245714491654	0.009001387824840926	0.0016994381268322632	0.0038583856968724527	0.0033744323808428244	0.004667729662376962	0.0040722354812242414	0.003342526810117693	0.0036759931435654293	0.001985601287114631	0.012302298987342659	0.013529213662756692	0.0053357158406173825	0.003891151849912876	0.002624183908894127	0.005218937753195287	0.010064153065473206	0.03001894103933895	0.03450359963460579	0.002929193206647638
SME1MPRT	0.001825551381715748	0.0013813353110716576	0.003501887534016029	0.0027312910039019355	0.007844008762596683	0.003158396544338651	0.019957983653130416	0.018170813719293025	0.00666291584838717	0.004683106802741021	0.005200878785507684	0.005744192397131518	0.012187045967164863	0.01052643072906251	0.0062587674661085165	0.012418987638683373	0.009977758051551777	0.016837813267269942	0.023871837612168025	0.005524985279910209	0.010497417938468558	0.004135175288334429	0.03423401740699474	0.002162997823885131	0.06880126262787722	0.013396393758962228	0.008104493845337473	0.00168882711417213	0.0028374633898289366	0.020604596414376983	0.001463176002966317	0.0012942823224969663	0.008818138235632017	0.003591995032539153	0.002987536683623516	0.009908736118558779	0.004395298401958803	0.004147139756878405	0.0009258234248521155	0.00689963621589507	0.005630306190707709	0.037934611671265134	0.0024059852227169398	0.004499607824585375	0.016602584150786623	0.0031771457884823043	0.01036868590980663	0.08271817218845103	0.013827023835614724
SME1PCTS	0.0009844851507664215	0.005427707893029132	0.0436466522437865	0.0034537862376828603	0.008738089736307561	0.002161242505554011	0.014231775879878603	0.06579965315921356	0.008403605239907826	0.004933306279970429	0.00428698365428889	0.004441538422164625	0.027643047741796194	0.008960493922010902	0.010460810752773124	0.01617126083508807	0.019837457792951117	0.018362399670494592	0.02086182096034602	0.0073405900453389706	0.005547335032211241	0.006067343480942533	0.008405955930739407	0.007157115848654066	0.0019159619285767995	0.0011185477052133282	0.003969279898514636	0.017096945994013426	0.0060233722654303296	0.01810493565093886	0.01311077888018999	0.0015387386960466027	0.007116593595753837	0.0029642918041551357	0.0016287335749029911	0.033336224459451405	0.006773613195837165	0.0069980444160872525	0.0026654415141946475	0.01819154572981163	0.011519922577312708	0.041931243825638106	0.0034634183654405452	0.011366434805142425	0.006155905237574524	0.012271332021678273	0.0045372135523478775	0.008469249901981746	0.011700656064083057
SME1SNSE	0.0025141300960237456	0.0064710177169893775	0.0022735551762425336	0.0020057031216563384	0.004806999443560537	0.0022523198508456253	0.00980492549000293	0.006117967787076606	0.009494643927142594	0.005263864489052331	0.007415056715420888	0.012715859389492407	0.010163142563187058	0.004594215909425936	0.005505348679535408	0.004891945800237898	0.004360463132844516	0.008482625965024358	0.007160729803427076	0.0033915228211504377	0.0031387624059731004	0.0632048532128264	0.005698977611617352	0.00550566736225891	0.0011747602322258275	0.0051584995910518615	0.0027587657911922812	0.004755241130873693	0.015264629289167888	0.007608865257867772	0.0067413484885040014	0.00873816710511459	0.015084658918598184	0.0028217896183947632	0.0009121082716241262	0.0036083788640082406	0.006449180809123713	0.002162132592330929	0.0013110583279916932	0.008762423626399079	0.005196564739890543	0.002932656592597418	0.003684137115967612	0.012198916602737005	0.005883700203161476	0.00315171896693112	0.024451492664338534	0.010243128608671059	0.007076614134265536
SME2ANTI	0.0024773981837236552	0.006332729152206825	0.0022634824291986144	0.0020048743854972537	0.004678782396797425	0.0023126451470153603	0.009548499840113524	0.007018702420048495	0.008244302979111207	0.00501693439515694	0.007335721653242955	0.012999034676817438	0.011297811888323446	0.004859832073784904	0.006214659409211632	0.00574907612138418	0.0042425641349073135	0.008324010965706218	0.006923492454533314	0.0034770500797169602	0.0029580278259777088	0.0640424046692934	0.005831752831986501	0.005524216966797742	0.0011987215891581845	0.005475504607628793	0.0027246190429616244	0.004934334269246666	0.015973661446434282	0.007642097744928379	0.0062613832733950745	0.00869031152368293	0.015107920873362267	0.0028239597033203174	0.0008981688701666115	0.004225112552331892	0.006253068566096582	0.0022448605233109827	0.0012941266504471042	0.00873556115188378	0.005137367656426163	0.0030211891496957537	0.003597473225751246	0.011599050146909502	0.005917441182556726	0.0031483696481146295	0.023840868488408794	0.009949080375902105	0.0073743601317478305
SME2MMRT	0.0020050836155968087	0.0045974892657035665	0.0046608338040421155	0.013024625552036092	0.014619717065834295	0.0031599333470604097	0.013066470945810125	0.00855765783474178	0.003703644342142931	0.00870671527853764	0.005275903095296966	0.008957199497892167	0.005251475317482045	0.005764405860684065	0.007740585147431953	0.007375892333007709	0.01506757470250324	0.012733896644500475	0.018507122298655577	0.00886395097692082	0.010944599217979694	0.005912502728235203	0.003913415216508429	0.0012483221550816399	0.008349673023039822	0.007508558464994367	0.005510744224740795	0.00224010126002453	0.003556999246643531	0.011450319805798847	0.006535356974031221	0.0016829507873678457	0.00607266476427919	0.002778190082136415	0.0017263553307986367	0.002870116726440881	0.006562892654147908	0.004756544099760656	0.0010388348674647738	0.00667725252064205	0.009813435433910219	0.005408903572436024	0.002451832954184525	0.0029199796090147207	0.010134704244891112	0.0072662225846897455	0.019130125750811047	0.030360389381371637	0.004202366200609253
SME2MPRT	0.0019421789860084961	0.0015925734368981521	0.0037763996187288556	0.0037216385454449078	0.004581255209352152	0.0031025389413253035	0.020187596078046675	0.018808806107332248	0.006731522295624752	0.004633894114734385	0.0052114234162833895	0.00505040263140787	0.012252492527068047	0.010026832364231918	0.0063147726428928195	0.011942291359494135	0.010365414737991253	0.01704498347237153	0.025949817519219043	0.006588169550273749	0.009638416830867805	0.009417183988866727	0.014650802010148683	0.0009130668061423167	0.02081512243813025	0.019090310521236015	0.004537109962610852	0.0009724892127479943	0.0027848185361518903	0.013228467075467812	0.0021572999113815545	0.0012944354676346927	0.017005193490764934	0.0034739534212507926	0.0029682489239201675	0.007080269381668796	0.004266888086470496	0.004034850238652099	0.0009432507019765515	0.003118714689972264	0.004175522582781707	0.02443209651064234	0.002395478548062362	0.003935341451309958	0.0063556241108904225	0.002893394480383079	0.012691239929177355	0.019130878173937344	0.006064029481656554
SME2PCTS	0.0029393562826884414	0.007976801815864323	0.07408146360668785	0.005265561544062138	0.004915246614369452	0.0013037026258638277	0.013258774229493113	0.02862790704363278	0.03803206550696007	0.03916007421426803	0.011074516969440973	0.0498137610592304	0.029313633002003164	0.006493720243426011	0.048104165555479715	0.06438792580574886	0.03101601866035524	0.01707863827531516	0.04157375108888495	0.015534822801825044	0.006611699124373101	0.0014189660712806795	0.0061611653993143296	0.002876487539222556	0.0054743511918191245	0.009903024496230164	0.005434673303794444	0.0051454648843085515	0.02429345132220482	0.01527128851156061	0.00783976288551524	0.008157258766359834	0.00545180116959181	0.004873254454388536	0.008463021858838167	0.023285315893898137	0.006911632591993766	0.008365154484319012	0.0030186478117618675	0.006479133220401663	0.004442409882898962	0.03028017492129794	0.005199090984353254	0.0034657354549664514	0.010847948193379241	0.00924806816443911	0.007127690113186755	0.015174883031157405	0.03094072758547286
SME2SNSE	0.0024443790268618734	0.006535251891685518	0.00218998489840228	0.0020689050113376706	0.004700132884915454	0.0022810292320112765	0.009400178431408456	0.006287677022952427	0.010270986837134297	0.005483870310032784	0.007400609552215579	0.01141848777201748	0.009976773795099357	0.004704734720127062	0.0052798428081961835	0.004353674093370732	0.004422036655613636	0.008544060329263806	0.0073383177490139095	0.0031485392846261474	0.0029271523726188834	0.06416192620755107	0.005859321413760779	0.005460033568602754	0.00118602823978433	0.005239917973513646	0.0027310332532350483	0.005250116136117323	0.013483500183325047	0.008083066538983332	0.006736609079443968	0.008998628777160202	0.015183382462638203	0.0027040370843370363	0.0009222950134911709	0.003787566146124218	0.006070969628609801	0.0022559233261029406	0.0013355538922323641	0.008940752609267641	0.005102417111515388	0.0034848920971459387	0.003590593866890117	0.011190416089083199	0.005824236136231057	0.003311180112185825	0.02417052490773988	0.010201566395193276	0.006929820230412216
